,parameter,parameter,parameter
,mean,min,max
station_name,,,
bpns-Birkenfels,41.37098,40.61878,42.12318
bpns-G-88,10.726351999999999,5.7167,12.93782
bpns-Grafton,22.04271043478261,21.36246,22.56598
bpns-Nauticaena,8.650279999999999,8.12374,9.02638
bpns-S4,14.29178,13.53958,15.043979999999998
bpns-VG2,4.914353333333333,2.7078999999999995,6.619339999999999
bpns-W1,3.710833333333333,3.309659999999999,4.212299999999999
ws-11,2.10614,1.80526,2.4070199999999997
ws-13,4.36274,1.5043799999999996,7.521979999999999
ws-4,4.2123,3.91142,4.513179999999999
ws-DL12,10.723343199999999,8.12374,12.336059999999998
ws-DL7,7.724063582089552,1.80526,11.13254
ws-DL9,7.681822499999999,1.5043799999999996,12.03518
ws-GVWSP,6.117873333333332,4.212299999999999,7.822859999999999
ws-OG10,18.15213330930065,1.80526,24.37126
ws-OGDL,15.472291529411763,9.32726,20.15894
ws-PVTSS,9.628139999999998,4.513179999999999,16.849259999999997
ws-SP3,7.421686666666666,7.2211,7.521979999999999
ws-TRAWL,6.385322222222222,2.7078999999999995,13.840459999999998
ws-W6,18.714716,4.81406,25.87566
ws-W7,19.170334285714286,17.45102,20.45982
ws-WN2,14.002472307692308,6.619339999999999,18.65454
ws-borssele,24.270966666666666,16.849259999999997,45.13198
